Codigo;Municipio;Indice
4390;MARINOPOLIS;0,003323963
4406;MARTINOPOLIS;0,040654913
4418;MATÃO;0,072461926
4420;MAUA;0,580002967
4431;MENDONCA;0,004371253
4443;MERIDIANO;0,005748122
7705;MESOPOLIS;0,002842287
4455;MIGUELOPOLIS;0,00055553
4467;MINEIROS DO TIETE;0,020416742
4479;MIRA ESTRELA;0,005197976
4480;MIRACATU;0,02368608
4492;MIRANDOPOLIS;0,03669982
4509;MIRANTE DO PARANAPANEMA;0,026708615
4510;MIRASSOL;0,10790714
4522;MIRASSOLANDIA;0,001964999
4534;MOCOCA;0,023954464
4546;MOGI DAS CRUZES;0,520002967
4558;MOGI GUACU;0,244040505
4560;MOGI MIRIM;0,132730549
4571;MOMBUCA;0,004061372
4583;MONÇÕES;0,003939787
4595;MONGAGUA;0,11056766
4601;MONTE ALEGRE DO SUL;0,007720874
4613;MONTE ALTO;0,115862483
4625;MONTE APRAZIVEL;0,041634961
4637;MONTE AZUL PAULISTA;0,033219833
4649;MONTE CASTELO;0,004862773
4650;MONTE MOR;0,06152199
4662;MONTEIRO LOBATO;0,005657857
4674;MORRO AGUDO;0,001220522
4686;MORUNGABA;0,031987896
7298;MOTUCA;0,007300384
4698;MURUTINGA DO SUL;0,005715662
7894;NANTES;0,00409447
4704;NARANDIBA;0,005174618
4716;NATIVIDADE DA SERRA;0,004485359
4728;NAZARE PAULISTA;0,024493011
4730;NEVES PAULISTA;0,009955199
4741;NHANDEARA;0,009656874
4753;NIPOÃ;0,00802626
4765;NOVA ALIANCA;0,004926873
7717;NOVA CAMPINA;0,007593822
7523;NOVA CANAÃ PAULISTA;0,002513758
7900;NOVA CASTILHO;0,001872193
4777;NOVA EUROPA;0,011180064
4789;NOVA GRANADA;0,024473735
4790;NOVA GUATAPORANGA;0,002819802
4807;NOVA INDEPENDENCIA;0,004283468
4819;NOVA LUZITANIA;0,004555184
4820;NOVA ODESSA;0,110822823
7535;NOVAIS;0,003171786
4832;NOVO HORIZONTE;0,076761961
4844;NUPORANGA;0,000453549
4856;OCAUCU;0,006765729
4868;OLEO;0,003674263
4870;OLIMPIA;0,115018427
4881;ONDA VERDE;0,004500757
4893;ORIENTE;0,010990425
4900;ORINDIUVA;0,011873082
4911;ORLANDIA;0,003971462
4923;OSASCO;1,380002967
4935;OSCAR BRESSANE;0,004968491
4947;OSVALDO CRUZ;0,071588412
4959;OURINHOS;0,239025106
4960;OURO VERDE;0,009696343
7912;OUROESTE;0,017795805
4972;PACAEMBU;0,021395308
4984;PALESTINA;0,013021107
4996;PALMARES PAULISTA;0,011385651
5009;PALMEIRA D'OESTE;0,015278954
5010;PALMITAL;0,046619392
5022;PANORAMA;0,021273211
5034;PARAGUACU PAULISTA;0,086158798
5046;PARAIBUNA;0,026405553
5058;PARAISO;0,012081669
5060;PARANAPANEMA;0,024940634
5083;PARANAPUÃ;0,006619692
5095;PARAPUÃ;0,019365598
5071;PARDINHO;0,010599662
5101;PARIQUERA-ACU;0,030993103
7547;PARISI;0,003375038
5113;PATROCINIO PAULISTA;0,011920314
5125;PAULICEIA;0,008551757
5137;PAULINIA;0,210342739
7924;PAULISTANIA;0,002028464
5149;PAULO DE FARIA;0,015897974
5150;PEDERNEIRAS;0,084014181
5162;PEDRA BELA;0,006710956
5174;PEDRANOPOLIS;0,003665657
5186;PEDREGULHO;0,012130697
5198;PEDREIRA;0,115843643
7559;PEDRINHAS PAULISTA;0,008366173
5204;PEDRO DE TOLEDO;0,012537851
5216;PENAPOLIS;0,123937523
5228;PEREIRA BARRETO;0,035437979
5230;PEREIRAS;0,009966856
5241;PERUIBE;0,177145746
5253;PIACATU;0,008027953
5265;PIEDADE;0,086287783
5277;PILAR DO SUL;0,047323502
5289;PINDAMONHANGABA;0,153405181
5290;PINDORAMA;0,029767478
5319;PINHALZINHO;0,024204748
5320;PIQUEROBI;0,002641308
5332;PIQUETE;0,021616827
5344;PIRACAIA;0,052731456
5356;PIRACICABA;0,900002967
5370;PIRAJU;0,030706932
5381;PIRAJUI;0,044973353
5393;PIRANGI;0,024528053
5400;PIRAPORA DO BOM JESUS;0,027402575
5411;PIRAPOZINHO;0,042980053
5368;PIRASSUNUNGA;0,164925847
5423;PIRATININGA;0,026625307
5435;PITANGUEIRAS;0,039501466
5447;PLANALTO;0,000085551
5459;PLATINA;0,004419736
5460;POA;0,223838717
5472;POLONI;0,01098574
5484;POMPEIA;0,04795663
5496;PONGAI;0,006678169
5502;PONTAL;0,043721698
7560;PONTALINDA;0,004377331
5514;PONTES GESTAL;0,005799331
5526;POPULINA;0,007253467
5538;PORANGABA;0,012055506
5540;PORTO FELIZ;0,105607983
5551;PORTO FERREIRA;0,11879786
7572;POTIM;0,016224502
5563;POTIRENDABA;0,026419262
7780;PRACINHA;0,002238248
5575;PRADOPOLIS;0,028271639
5587;PRAIA GRANDE;0,51790608
7791;PRATANIA;0,004780253
5599;PRESIDENTE ALVES;0,005562463
5605;PRESIDENTE BERNADES;0,024430512
5617;PRESIDENTE EPITACIO;0,068531295
